baseline_model,Endpoint,Metric,HyDRA estimate,Baseline estimate,auc_difference,auc_difference_ci,paired_bootstrap_p_raw,paired_bootstrap_p_holm,Test method,Adjusted P for sensitivity,Raw P sensitivity,Sensitivity difference,ci_low,ci_high,paired_bootstrap_p,comparison,source
ClinicalOnly_Logistic,pathology_cin2plus,AUC,0.6361895498343415,0.6931171497951644,-0.0569275999608228,-0.093--0.020,0.002,0.022,paired bootstrap,0.306,0.034,0.0355329949238578,-0.093,-0.02,0.022,HyDRA_CoE_Full minus ClinicalOnly_Logistic,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ClinicalOnly_XGBoost,pathology_cin2plus,AUC,0.6361895498343415,0.644433636956206,-0.0082440871218645,-0.044-0.027,0.638,1.0,paired bootstrap,0.0,0.0,0.0710659898477157,-0.044,-0.027,1.0,HyDRA_CoE_Full minus ClinicalOnly_XGBoost,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOnly_ViT,pathology_cin2plus,AUC,0.6361895498343415,0.5178323555933818,0.1183571942409597,0.092-0.146,0.0,0.0,paired bootstrap,0.014,0.001,0.0558375634517767,0.092,0.146,0.0,HyDRA_CoE_Full minus ColposcopyOnly_ViT,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
OCTOnly_ViT,pathology_cin2plus,AUC,0.6361895498343415,0.5971044374871238,0.0390851123472176,0.012-0.066,0.008,0.064,paired bootstrap,1.0,0.724,0.0076142131979695,0.012,0.066,0.064,HyDRA_CoE_Full minus OCTOnly_ViT,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCT_EarlyConcat,pathology_cin2plus,AUC,0.6361895498343415,0.6116835702537397,0.0245059795806018,0.011-0.039,0.001,0.012,paired bootstrap,0.5950000000000001,0.085,0.0228426395939086,0.011,0.039,0.012,HyDRA_CoE_Full minus ColposcopyOCT_EarlyConcat,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCT_LateFusion,pathology_cin2plus,AUC,0.6361895498343415,0.5623794711760912,0.0738100786582502,0.055-0.092,0.0,0.0,paired bootstrap,1.0,0.607,-0.0101522842639594,0.055,0.092,0.0,HyDRA_CoE_Full minus ColposcopyOCT_LateFusion,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCTText_CrossAttention,pathology_cin2plus,AUC,0.6361895498343415,0.6264653434248255,0.0097242064095159,-0.009-0.028,0.271,1.0,paired bootstrap,0.036,0.003,0.0406091370558375,-0.028,-0.009,1.0,HyDRA_CoE_Full minus ColposcopyOCTText_CrossAttention,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
BioMedCLIP_Finetuned,pathology_cin2plus,AUC,0.6361895498343415,0.6317770550270019,0.0044124948073396,-0.006-0.015,0.373,1.0,paired bootstrap,0.93,0.155,0.0177664974619289,-0.015,-0.006,1.0,HyDRA_CoE_Full minus BioMedCLIP_Finetuned,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ClinicalOnly_Logistic,pathology_cin3plus,AUC,0.6868612780270434,0.6879261982654383,-0.0010649202383948,-0.052-0.047,0.956,1.0,paired bootstrap,0.19,0.019,0.0575916230366491,-0.052,-0.047,1.0,HyDRA_CoE_Full minus ClinicalOnly_Logistic,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ClinicalOnly_XGBoost,pathology_cin3plus,AUC,0.6868612780270434,0.650353234349969,0.0365080436770745,-0.012-0.083,0.144,1.0,paired bootstrap,0.014,0.001,0.0732984293193717,-0.083,-0.012,1.0,HyDRA_CoE_Full minus ClinicalOnly_XGBoost,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOnly_ViT,pathology_cin3plus,AUC,0.6868612780270434,0.5598089281439698,0.1270523498830736,0.096-0.160,0.0,0.0,paired bootstrap,0.0,0.0,0.0732984293193717,0.096,0.16,0.0,HyDRA_CoE_Full minus ColposcopyOnly_ViT,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
OCTOnly_ViT,pathology_cin3plus,AUC,0.6868612780270434,0.6333267862732702,0.0535344917537732,0.018-0.089,0.002,0.022,paired bootstrap,1.0,0.967,-0.0052356020942408,0.018,0.089,0.022,HyDRA_CoE_Full minus OCTOnly_ViT,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCT_EarlyConcat,pathology_cin3plus,AUC,0.6868612780270434,0.6572736814323331,0.0295875965947103,0.011-0.047,0.003,0.027,paired bootstrap,0.344,0.043,0.0366492146596858,0.011,0.047,0.027,HyDRA_CoE_Full minus ColposcopyOCT_EarlyConcat,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCT_LateFusion,pathology_cin3plus,AUC,0.6868612780270434,0.6218459026656764,0.065015375361367,0.042-0.088,0.0,0.0,paired bootstrap,1.0,1.0,0.0,0.042,0.088,0.0,HyDRA_CoE_Full minus ColposcopyOCT_LateFusion,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
ColposcopyOCTText_CrossAttention,pathology_cin3plus,AUC,0.6868612780270434,0.6755568581477139,0.0113044198793295,-0.011-0.034,0.367,1.0,paired bootstrap,0.143,0.013,0.0471204188481675,-0.034,-0.011,1.0,HyDRA_CoE_Full minus ColposcopyOCTText_CrossAttention,outputs/publishable_v2/step2_main_loco/statistics/paired_tests_vs_hydra.csv
