variant,status,source,notes
same_backbone_clinical_only,AVAILABLE,locked_step2_predictions,
same_backbone_colpo_only,AVAILABLE,locked_step2_predictions,
same_backbone_oct_only,AVAILABLE,locked_step2_predictions,
same_backbone_early_concat,AVAILABLE,locked_step2_predictions,
same_backbone_late_score_fusion,AVAILABLE,locked_step2_predictions,
same_backbone_cross_attention,AVAILABLE,locked_step2_predictions,
same_backbone_gated_fusion,AVAILABLE,shared_lora_improved_1897_ablation_predictions,
same_backbone_reliability_without_coe,AVAILABLE,shared_lora_improved_1897_ablation_predictions,
same_backbone_coe_without_reliability,AVAILABLE,shared_lora_improved_1897_ablation_predictions,
same_backbone_hydra_full,AVAILABLE,shared_lora_improved_1897_ablation_predictions,
