variant,source_variant,center,n,auroc,auprc,accuracy,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,referral_rate,tp,fp,tn,fn
shared_lora_g0,g0,十堰市人民医院,496,0.7907509157509157,0.30229061413975755,0.7217741935483871,0.7142857142857143,0.7222222222222222,0.13333333333333333,0.976878612716763,0.2247191011235955,0.7182539682539683,0.3024193548387097,20,130,338,8
shared_lora_g0,g0,恩施州中心医院,406,0.6946488294314381,0.5630656869155347,0.7266009852216748,0.34615384615384615,0.9057971014492754,0.6338028169014085,0.746268656716418,0.44776119402985076,0.6259754738015608,0.1748768472906404,45,26,250,85
shared_lora_g0,g0,武大人民医院,89,,,0.651685393258427,0.651685393258427,,1.0,0.0,0.7891156462585034,,0.651685393258427,58,0,0,31
shared_lora_g0,g0,荆州市第一人民医院,406,0.6851241485387827,0.18427671412418484,0.7044334975369458,0.5135135135135135,0.7235772357723578,0.15702479338842976,0.9368421052631579,0.24050632911392406,0.6185453746429357,0.29802955665024633,19,102,267,18
shared_lora_g0,g0,襄阳市中心医院,500,0.49708624708624705,0.3087443375762736,0.56,0.44545454545454544,0.5923076923076923,0.23557692307692307,0.791095890410959,0.3081761006289308,0.5188811188811189,0.416,49,159,231,61
same_backbone_hydra_full,g1,十堰市人民医院,496,0.7907509157509157,0.30229061413975755,0.7217741935483871,0.7142857142857143,0.7222222222222222,0.13333333333333333,0.976878612716763,0.2247191011235955,0.7182539682539683,0.3024193548387097,20,130,338,8
same_backbone_hydra_full,g1,恩施州中心医院,406,0.6946488294314381,0.5630656869155347,0.7266009852216748,0.34615384615384615,0.9057971014492754,0.6338028169014085,0.746268656716418,0.44776119402985076,0.6259754738015608,0.1748768472906404,45,26,250,85
same_backbone_hydra_full,g1,武大人民医院,89,,,0.651685393258427,0.651685393258427,,1.0,0.0,0.7891156462585034,,0.651685393258427,58,0,0,31
same_backbone_hydra_full,g1,荆州市第一人民医院,406,0.6851241485387827,0.18427671412418484,0.7044334975369458,0.5135135135135135,0.7235772357723578,0.15702479338842976,0.9368421052631579,0.24050632911392406,0.6185453746429357,0.29802955665024633,19,102,267,18
same_backbone_hydra_full,g1,襄阳市中心医院,500,0.49708624708624705,0.3087443375762736,0.56,0.44545454545454544,0.5923076923076923,0.23557692307692307,0.791095890410959,0.3081761006289308,0.5188811188811189,0.416,49,159,231,61
shared_lora_g2,g2,十堰市人民医院,496,0.7692307692307693,0.24748361699455615,0.7741935483870968,0.6071428571428571,0.7841880341880342,0.1440677966101695,0.9708994708994709,0.2328767123287671,0.6956654456654456,0.23790322580645162,17,101,367,11
shared_lora_g2,g2,恩施州中心医院,406,0.7377090301003345,0.6214282642962252,0.729064039408867,0.4846153846153846,0.8442028985507246,0.5943396226415094,0.7766666666666666,0.5338983050847458,0.6644091415830546,0.26108374384236455,63,43,233,67
