method,setting,n,auc,sensitivity,specificity,npv,ece,brier,source,cin3_false_negatives
Ablation_NoCoESupervision_random_one,random_one,196,0.7457386363636364,0.4843749999999924,0.9166666666666596,0.7857142857142806,0.172439871545957,0.2012146550474909,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoCoESupervision_random_two,random_two,196,0.7321851325757576,0.578124999999991,0.7954545454545394,0.7954545454545394,0.1710635583315576,0.2010147222794755,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoCoESupervision_remove_clinical_prior,remove_clinical_prior,196,0.7745028409090909,0.5624999999999912,0.8787878787878721,0.80555555555555,0.1735185437968799,0.2014080077893527,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoCoESupervision_remove_colposcopy,remove_colposcopy,196,0.7697679924242424,0.64062499999999,0.787878787878782,0.8188976377952691,0.1701380677369176,0.2005600133601234,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoCoESupervision_remove_oct,remove_oct,196,0.7820785984848485,0.578124999999991,0.9318181818181748,0.8199999999999945,0.1733800090697347,0.2015713900737613,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoTrajectoryCoE_random_one,random_one,196,0.7855113636363636,0.6562499999999898,0.818181818181812,0.8307692307692244,0.2538104779562171,0.2321141539153077,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoTrajectoryCoE_random_two,random_two,196,0.7937381628787878,0.7499999999999883,0.7272727272727217,0.8571428571428495,0.2517527118325233,0.2319365959375023,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoTrajectoryCoE_remove_clinical_prior,remove_clinical_prior,196,0.8123816287878788,0.6562499999999898,0.8560606060605996,0.8370370370370309,0.2577680922588523,0.2326709974068778,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoTrajectoryCoE_remove_colposcopy,remove_colposcopy,196,0.7947443181818182,0.6874999999999893,0.803030303030297,0.8412698412698346,0.2503393459684994,0.2323267377008496,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_NoTrajectoryCoE_remove_oct,remove_oct,196,0.7980587121212122,0.6874999999999893,0.818181818181812,0.8437499999999934,0.2555596446808503,0.2329920962594759,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_RandomASCCPPrototypePrior_random_one,random_one,196,0.7277462121212122,0.4374999999999932,0.9166666666666596,0.7707006369426703,0.2435751387051173,0.2384931156003591,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_RandomASCCPPrototypePrior_random_two,random_two,196,0.7757457386363636,0.515624999999992,0.9318181818181748,0.7987012987012936,0.2430908407787887,0.2378230251984297,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_RandomASCCPPrototypePrior_remove_clinical_prior,remove_clinical_prior,196,0.7660984848484849,0.5312499999999918,0.9015151515151448,0.7986577181208,0.2463550590434852,0.2398583172850063,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_RandomASCCPPrototypePrior_remove_colposcopy,remove_colposcopy,196,0.7437263257575758,0.5624999999999912,0.833333333333327,0.7971014492753565,0.2416348083286869,0.2372972168113801,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
Ablation_RandomASCCPPrototypePrior_remove_oct,remove_oct,196,0.7465672348484849,0.4843749999999924,0.8939393939393872,0.781456953642379,0.2430197588947354,0.2379938987783409,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectConcat_AllCenterPatientHoldout_random_one,random_one,196,0.798532196969697,0.64062499999999,0.8787878787878721,0.8345323741007135,0.046439763785777,0.14514424078168,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectConcat_AllCenterPatientHoldout_random_two,random_two,196,0.8025568181818182,0.6874999999999893,0.8712121212121147,0.8518518518518455,0.0971286373441012,0.1494118359372283,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectConcat_AllCenterPatientHoldout_remove_clinical_prior,remove_clinical_prior,196,0.8333333333333334,0.6093749999999906,0.9393939393939325,0.8322147651006656,0.0528322879833226,0.1341201825877043,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectConcat_AllCenterPatientHoldout_remove_colposcopy,remove_colposcopy,196,0.7953361742424242,0.578124999999991,0.9621212121212048,0.8246753246753193,0.1175750111210711,0.1560258827412051,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectConcat_AllCenterPatientHoldout_remove_oct,remove_oct,196,0.8339251893939394,0.7031249999999891,0.8712121212121147,0.8582089552238742,0.0933817379480722,0.1501107548906814,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectCrossAttention_AllCenterPatientHoldout_random_one,random_one,196,0.8012547348484849,0.6093749999999906,0.9621212121212048,0.8355263157894682,0.0745385220388368,0.1429640085167173,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectCrossAttention_AllCenterPatientHoldout_random_two,random_two,196,0.8058712121212122,0.7343749999999886,0.787878787878782,0.8595041322313979,0.0379457469573434,0.1484192953871866,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectCrossAttention_AllCenterPatientHoldout_remove_clinical_prior,remove_clinical_prior,196,0.8312026515151515,0.6093749999999906,0.9621212121212048,0.8355263157894682,0.0601519604726713,0.133390595208561,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectCrossAttention_AllCenterPatientHoldout_remove_colposcopy,remove_colposcopy,196,0.7878787878787878,0.578124999999991,0.9621212121212048,0.8246753246753193,0.0687668995209494,0.1485572406186605,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
DirectCrossAttention_AllCenterPatientHoldout_remove_oct,remove_oct,196,0.8340435606060606,0.7187499999999888,0.818181818181812,0.8571428571428503,0.0448635880056084,0.1400766378016615,paper_revision/final_outputs/infofusion_revision_package/05_robustness/missing_modality_robustness_metrics.csv,
