representation,center_a,center_b,coral_distance
oct_feature_cache,十堰市人民医院,十堰市人民医院,0.0
oct_feature_cache,十堰市人民医院,恩施州中心医院,0.06247004895561147
oct_feature_cache,十堰市人民医院,武大人民医院,0.06747468363515235
oct_feature_cache,十堰市人民医院,荆州市第一人民医院,0.06644597451671012
oct_feature_cache,十堰市人民医院,襄阳市中心医院,0.038394600825060035
oct_feature_cache,恩施州中心医院,十堰市人民医院,0.06247004895561147
oct_feature_cache,恩施州中心医院,恩施州中心医院,0.0
oct_feature_cache,恩施州中心医院,武大人民医院,0.030142541118750896
oct_feature_cache,恩施州中心医院,荆州市第一人民医院,0.03402021596559733
oct_feature_cache,恩施州中心医院,襄阳市中心医院,0.06697250833300272
oct_feature_cache,武大人民医院,十堰市人民医院,0.06747468363515235
oct_feature_cache,武大人民医院,恩施州中心医院,0.030142541118750896
oct_feature_cache,武大人民医院,武大人民医院,0.0
oct_feature_cache,武大人民医院,荆州市第一人民医院,0.03502926970144825
oct_feature_cache,武大人民医院,襄阳市中心医院,0.06884870529119633
oct_feature_cache,荆州市第一人民医院,十堰市人民医院,0.06644597451671012
oct_feature_cache,荆州市第一人民医院,恩施州中心医院,0.03402021596559733
oct_feature_cache,荆州市第一人民医院,武大人民医院,0.03502926970144825
oct_feature_cache,荆州市第一人民医院,荆州市第一人民医院,0.0
oct_feature_cache,荆州市第一人民医院,襄阳市中心医院,0.0705073360932894
oct_feature_cache,襄阳市中心医院,十堰市人民医院,0.038394600825060035
oct_feature_cache,襄阳市中心医院,恩施州中心医院,0.06697250833300272
oct_feature_cache,襄阳市中心医院,武大人民医院,0.06884870529119633
oct_feature_cache,襄阳市中心医院,荆州市第一人民医院,0.0705073360932894
oct_feature_cache,襄阳市中心医院,襄阳市中心医院,0.0
colposcopy_feature_cache,十堰市人民医院,十堰市人民医院,0.0
colposcopy_feature_cache,十堰市人民医院,恩施州中心医院,0.01805992573466734
colposcopy_feature_cache,十堰市人民医院,武大人民医院,0.019592807867796914
colposcopy_feature_cache,十堰市人民医院,荆州市第一人民医院,0.024273293745588308
colposcopy_feature_cache,十堰市人民医院,襄阳市中心医院,0.024823238671562282
colposcopy_feature_cache,恩施州中心医院,十堰市人民医院,0.01805992573466734
colposcopy_feature_cache,恩施州中心医院,恩施州中心医院,0.0
colposcopy_feature_cache,恩施州中心医院,武大人民医院,0.01966403160736603
colposcopy_feature_cache,恩施州中心医院,荆州市第一人民医院,0.025690401483480816
colposcopy_feature_cache,恩施州中心医院,襄阳市中心医院,0.023479826253328732
colposcopy_feature_cache,武大人民医院,十堰市人民医院,0.019592807867796914
colposcopy_feature_cache,武大人民医院,恩施州中心医院,0.01966403160736603
colposcopy_feature_cache,武大人民医院,武大人民医院,0.0
colposcopy_feature_cache,武大人民医院,荆州市第一人民医院,0.0236703599933892
colposcopy_feature_cache,武大人民医院,襄阳市中心医院,0.023458535670941083
colposcopy_feature_cache,荆州市第一人民医院,十堰市人民医院,0.024273293745588308
colposcopy_feature_cache,荆州市第一人民医院,恩施州中心医院,0.025690401483480816
colposcopy_feature_cache,荆州市第一人民医院,武大人民医院,0.0236703599933892
colposcopy_feature_cache,荆州市第一人民医院,荆州市第一人民医院,0.0
colposcopy_feature_cache,荆州市第一人民医院,襄阳市中心医院,0.027048638880970532
colposcopy_feature_cache,襄阳市中心医院,十堰市人民医院,0.024823238671562282
colposcopy_feature_cache,襄阳市中心医院,恩施州中心医院,0.023479826253328732
colposcopy_feature_cache,襄阳市中心医院,武大人民医院,0.023458535670941083
colposcopy_feature_cache,襄阳市中心医院,荆州市第一人民医院,0.027048638880970532
colposcopy_feature_cache,襄阳市中心医院,襄阳市中心医院,0.0
clinical_feature_cache,十堰市人民医院,十堰市人民医院,0.0
clinical_feature_cache,十堰市人民医院,恩施州中心医院,0.002324503552311011
clinical_feature_cache,十堰市人民医院,武大人民医院,0.0024505407525761322
clinical_feature_cache,十堰市人民医院,荆州市第一人民医院,0.00221805230495696
clinical_feature_cache,十堰市人民医院,襄阳市中心医院,0.0019473615867482868
clinical_feature_cache,恩施州中心医院,十堰市人民医院,0.002324503552311011
clinical_feature_cache,恩施州中心医院,恩施州中心医院,0.0
clinical_feature_cache,恩施州中心医院,武大人民医院,0.0008582232438668017
clinical_feature_cache,恩施州中心医院,荆州市第一人民医院,0.002909904704404041
clinical_feature_cache,恩施州中心医院,襄阳市中心医院,0.0016445298870840005
clinical_feature_cache,武大人民医院,十堰市人民医院,0.0024505407525761322
clinical_feature_cache,武大人民医院,恩施州中心医院,0.0008582232438668017
clinical_feature_cache,武大人民医院,武大人民医院,0.0
clinical_feature_cache,武大人民医院,荆州市第一人民医院,0.003058075642157412
clinical_feature_cache,武大人民医院,襄阳市中心医院,0.001644898518093472
clinical_feature_cache,荆州市第一人民医院,十堰市人民医院,0.00221805230495696
clinical_feature_cache,荆州市第一人民医院,恩施州中心医院,0.002909904704404041
clinical_feature_cache,荆州市第一人民医院,武大人民医院,0.003058075642157412
clinical_feature_cache,荆州市第一人民医院,荆州市第一人民医院,0.0
clinical_feature_cache,荆州市第一人民医院,襄阳市中心医院,0.0024560775541825576
clinical_feature_cache,襄阳市中心医院,十堰市人民医院,0.0019473615867482868
clinical_feature_cache,襄阳市中心医院,恩施州中心医院,0.0016445298870840005
clinical_feature_cache,襄阳市中心医院,武大人民医院,0.001644898518093472
clinical_feature_cache,襄阳市中心医院,荆州市第一人民医院,0.0024560775541825576
clinical_feature_cache,襄阳市中心医院,襄阳市中心医院,0.0
visual_before_fusion_proxy,十堰市人民医院,十堰市人民医院,0.0
visual_before_fusion_proxy,十堰市人民医院,恩施州中心医院,0.06505353301518048
visual_before_fusion_proxy,十堰市人民医院,武大人民医院,0.06909650277358102
visual_before_fusion_proxy,十堰市人民医院,荆州市第一人民医院,0.07043800810089575
visual_before_fusion_proxy,十堰市人民医院,襄阳市中心医院,0.04893430421999197
