stratum_type,stratum,n,auroc,sensitivity,specificity,ppv,npv,false_negatives,false_positives,referral_rate,cin3_false_negatives,notes
histology,CIN0_1_or_benign,1503,,,0.8862275449101796,0.0,1.0,0,171,0.11377245508982035,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
histology,CIN2,127,,0.14173228346456693,,1.0,0.0,109,0,0.14173228346456693,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
histology,CIN3,108,,0.48148148148148145,,1.0,0.0,56,0,0.48148148148148145,56,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
histology,HSIL_ungraded_as_CIN2,76,,0.19736842105263158,,1.0,0.0,61,0,0.19736842105263158,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
histology,cancer,83,,0.8072289156626506,,1.0,0.0,16,0,0.8072289156626506,16,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,-,178,0.6795138888888889,0.3333333333333333,0.94375,0.4,0.9263803680981595,12,9,0.08426966292134831,4,
hpv,1,605,0.655516391365448,0.24358974358974358,0.9110512129380054,0.6333333333333333,0.6563106796116505,177,33,0.1487603305785124,72,
hpv,11,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"11,42,54,55",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"11,43,51,66,82",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,12,2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,16,83,0.4736842105263157,0.05263157894736842,0.84375,0.09090909090909091,0.75,18,10,0.13253012048192772,8,
hpv,"16,18",3,1.0,1.0,1.0,1.0,1.0,0,0,0.6666666666666666,0,
hpv,"16,18,31,51,52,53,6,81",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,18,52",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,18,81",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,18,其他",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,33",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,33,66",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,35,51",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,39",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,39,",2,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,40,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,42",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,45",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,51,52,68",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,51,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,51,56,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,51,81",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,52",5,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,52,83",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,53",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,58",3,1.0,0.0,1.0,,0.6666666666666666,1,0,0.0,1,
hpv,"16,66",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,9",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"16,其他",4,1.0,0.0,1.0,,0.25,3,0,0.0,0,
hpv,18,28,0.3733333333333333,0.0,0.84,0.0,0.875,3,4,0.14285714285714285,3,
hpv,"18,19",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,31",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,52",3,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,52,",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,52,35,81",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,66,11",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,81",1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"18,其他",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,2,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"26,44,69,81",1,,1.0,,1.0,,0,0,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,31,1,,,1.0,,1.0,0,0,0.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
hpv,"31,33,35,39,45,51,52,56,58,59,66,68",1,,,0.0,0.0,,0,1,1.0,0,One-class group; AUROC/AUPRC or class-conditional metrics may be undefined.
