model_name,center,n,number_referred_cin2_threshold,referral_rate,cin2_sensitivity,cin3_sensitivity,cin2_false_negatives,cin3_false_negatives,specificity,npv,ppv,unnecessary_model_positive_referrals,unnecessary_referrals_avoided_vs_treat_all,missed_cin2_per_1000,missed_cin3_per_1000,threshold_cin2,threshold_cin3,referred_per_1000,false_positive_referrals_per_1000
BioMedCLIP_Finetuned,十堰市人民医院,496,0,0.0,0.0,0.0,28,4,1.0,0.9435483870967742,,0,468,56.45161290322581,8.064516129032258,0.9997190545669044,0.9998472794987808,0.0,0.0
BioMedCLIP_Finetuned,恩施州中心医院,406,30,0.07389162561576355,0.2,0.109375,104,57,0.9855072463768116,0.723404255319149,0.8666666666666667,4,272,256.1576354679803,140.39408866995075,0.9981627675723475,0.9999942398785777,73.89162561576356,9.852216748768473
BioMedCLIP_Finetuned,武大人民医院,89,62,0.6966292134831461,0.6966292134831461,0.7551020408163265,27,12,,0.0,1.0,0,0,303.37078651685397,134.8314606741573,0.0999531533732632,0.2138138275103581,696.6292134831461,0.0
BioMedCLIP_Finetuned,荆州市第一人民医院,406,116,0.2857142857142857,0.3783783783783784,0.3076923076923077,23,9,0.7235772357723578,0.9206896551724137,0.1206896551724138,102,267,56.65024630541872,22.167487684729064,0.9969987130467736,0.9993925828425174,285.7142857142857,251.23152709359607
BioMedCLIP_Finetuned,襄阳市中心医院,500,145,0.29,0.37272727272727274,0.06557377049180328,69,57,0.7333333333333333,0.8056338028169014,0.2827586206896552,104,286,138.0,114.0,0.9647485475701844,0.9999841081527354,290.0,208.0
ClinicalOnly_Logistic,十堰市人民医院,496,199,0.4012096774193548,0.8214285714285714,0.5,5,2,0.6239316239316239,0.9831649831649831,0.11557788944723618,176,292,10.080645161290322,4.032258064516129,0.4212295623120729,0.4212295623120729,401.2096774193548,354.8387096774194
ClinicalOnly_Logistic,恩施州中心医院,406,340,0.8374384236453202,0.9538461538461539,0.8125,6,12,0.21739130434782608,0.9090909090909091,0.36470588235294116,216,60,14.778325123152708,29.556650246305416,0.2488724552470733,0.5088197350683518,837.4384236453202,532.0197044334975
ClinicalOnly_Logistic,武大人民医院,89,48,0.5393258426966292,0.5393258426966292,1.0,41,0,,0.0,1.0,0,0,460.6741573033708,0.0,0.6731315193158709,0.3016154094970198,539.3258426966293,0.0
ClinicalOnly_Logistic,荆州市第一人民医院,406,263,0.6477832512315271,0.972972972972973,0.46153846153846156,1,7,0.38482384823848237,0.993006993006993,0.13688212927756654,227,142,2.4630541871921183,17.241379310344826,0.21610894347526083,0.4591452420189747,647.7832512315272,559.1133004926108
ClinicalOnly_Logistic,襄阳市中心医院,500,340,0.68,0.5636363636363636,0.4918032786885246,48,31,0.28717948717948716,0.7,0.18235294117647058,278,112,96.0,62.0,0.4167746553485808,0.6851918553796911,680.0,556.0
ClinicalOnly_XGBoost,十堰市人民医院,496,227,0.4576612903225806,0.75,0.75,7,1,0.5598290598290598,0.9739776951672863,0.09251101321585903,206,262,14.112903225806452,2.0161290322580645,0.0941759156518344,0.0941759156518344,457.6612903225806,415.32258064516134
ClinicalOnly_XGBoost,恩施州中心医院,406,351,0.8645320197044335,0.9538461538461539,0.953125,6,3,0.17753623188405798,0.8909090909090909,0.35327635327635326,227,49,14.778325123152708,7.389162561576354,0.0193663894545278,0.0636280667540321,864.5320197044335,559.1133004926108
ClinicalOnly_XGBoost,武大人民医院,89,44,0.4943820224719101,0.4943820224719101,0.7346938775510204,45,13,,0.0,1.0,0,0,505.6179775280899,146.06741573033707,0.2242317192505384,0.1256265191287772,494.3820224719101,0.0
ClinicalOnly_XGBoost,荆州市第一人民医院,406,194,0.47783251231527096,0.7837837837837838,0.6923076923076923,8,4,0.5528455284552846,0.9622641509433962,0.14948453608247422,165,204,19.704433497536947,9.852216748768473,0.0803151655377655,0.0803151655377655,477.83251231527095,406.4039408866995
ClinicalOnly_XGBoost,襄阳市中心医院,500,297,0.594,0.5,0.4918032786885246,55,31,0.37948717948717947,0.729064039408867,0.18518518518518517,242,148,110.0,62.0,0.1396136800247357,0.3501419177544038,594.0,484.0
ColposcopyOCTText_CrossAttention,十堰市人民医院,496,1,0.0020161290322580645,0.03571428571428571,0.25,27,3,1.0,0.9454545454545454,1.0,0,468,54.435483870967744,6.048387096774193,0.9998982943939716,0.9998982943939716,2.0161290322580645,0.0
ColposcopyOCTText_CrossAttention,恩施州中心医院,406,11,0.027093596059113302,0.08461538461538462,0.078125,119,59,1.0,0.6987341772151898,1.0,0,276,293.10344827586204,145.32019704433498,0.9999978466572964,0.999999684436714,27.093596059113302,0.0
ColposcopyOCTText_CrossAttention,武大人民医院,89,78,0.8764044943820225,0.8764044943820225,0.9183673469387755,11,4,,0.0,1.0,0,0,123.59550561797752,44.9438202247191,0.2036527464230306,0.2036527464230306,876.4044943820224,0.0
ColposcopyOCTText_CrossAttention,荆州市第一人民医院,406,17,0.04187192118226601,0.05405405405405406,0.07692307692307693,35,12,0.959349593495935,0.910025706940874,0.11764705882352941,15,354,86.20689655172414,29.556650246305416,0.9999990396596796,0.9999990396596796,41.87192118226601,36.94581280788178
ColposcopyOCTText_CrossAttention,襄阳市中心医院,500,26,0.052,0.1,0.0,99,61,0.9615384615384616,0.7911392405063291,0.4230769230769231,15,375,198.0,122.0,0.9999787134897484,0.9999999994405186,52.0,30.0
ColposcopyOCT_EarlyConcat,十堰市人民医院,496,3,0.006048387096774193,0.0,0.0,28,4,0.9935897435897436,0.9432048681541582,0.0,3,465,56.45161290322581,8.064516129032258,0.9990975319337329,0.9998877033917056,6.048387096774193,6.048387096774193
